Classified,GrndTruth,pop,w,lon,lat
30,-1,8601.270103452727199,28037130.092719681560993,6.342416347929810,7.266157995627292
13,-1,648.780469417572021,2564638.927314703352749,4.537207874808740,7.225595223023509
30,-1,7529.709801912307739,24544218.555803455412388,2.318731136130176,6.382193643955000
23,-1,5592.286950111389160,8751090.233881806954741,-3.319988712547930,6.293020030391760
12,-1,177.393749052658677,5469272.799417273141444,-2.007711237808237,6.163323395166981
21,-1,300.501966348849237,3289003.036747145466506,-4.117381833577223,5.458303702720529
22,-1,2677.170261897146702,2554274.761024758219719,-4.236652854188887,5.271973924573522
13,-1,555.282860138453543,2195041.475370208732784,6.135962830514135,6.528126964703757
23,-1,2308.897627972066402,3613078.453132087830454,7.544693570405415,6.106584949914536
30,-1,1853.571595646440983,6041994.651748921722174,7.053279098501349,6.009324387157492
21,-1,357.240456171333790,3910007.510008933488280,7.261886056616363,5.806719463827358
11,-1,4.597787696868181,2821683.068579454440624,10.823464256749679,5.652758433538243
23,-1,5177.026134356856346,8101269.346348325721920,7.550644915304605,5.620347597738879
30,-1,846.484527327120304,2759243.289501847699285,7.369757443309236,5.523119220070462
12,-1,229.565088264644146,7077780.923210192471743,10.780502589849444,3.061744890143845
11,-1,1.224761843681335,751641.873266959795728,14.774537494970925,5.523119220070462
13,-1,525.280770927667618,2076442.766688633942977,12.676375466718646,-4.980370013505448
11,-1,0.000000000000000,0.000000000000000,20.788631319179665,9.036168825196745
11,-1,0.000000000000000,0.000000000000000,30.915256654799236,7.842304462736922
23,-1,1705.789087221026421,2669304.053137823008001,35.677475370310638,9.158073480091424
12,-1,76.083773687481880,2345758.608339912258089,35.699330974073796,7.785488082712983
21,-1,313.830186165869236,3434880.802491024136543,36.302432445478566,7.420309384998081
11,-1,0.000000000000000,0.000000000000000,19.561783240270419,0.440780175365193
23,-1,8972.372764348983765,14040417.520291507244110,17.586654378794872,-0.707678813106016
13,-1,1079.400315541774035,4266885.638341365382075,31.585876946446440,6.114690300654975
11,-1,1.922661356627941,1179945.955378592712805,29.291088535864642,3.871083002574045
13,-1,434.840286359190941,1718930.174582177074626,31.654998714005920,3.199314135854279
